place,name,pop,lng,lat,group,log_vac2014,log_vac2015,log_vac2016,log_vac2017,log_vac2018,log_vac2019,log_vac_moy,log_tot2014,log_tot2015,log_tot2016,log_tot2017,log_tot2018,log_tot2019,log_tot_moy
town,Zurich_ville,409241,8.371694,47.406888,a,0.2,0.2,0.2,0.2,0.2,0.1,0.2,214470,215608,218586,220940,222953,225943,219750
agglo,Zurich_agglo,1369041,8.36615,47.49815,c,0.8,0.8,0.9,0.9,1,0.9,0.9,642289,648476,657791,665935,672821,681720,661505
town,Berne_ville,133798,7.44813,46.948,b,0.5,0.4,0.4,0.6,0.4,0.6,0.5,76892,77516,77876,78249,78681,78916,78021
agglo,Berne_agglo,418525,7.45109,46.998322,d,1,1,1.4,1.3,1.2,1.3,1.2,210666,212706,214595,216954,218703,220520,215690
town,Lucerne_ville,81401,8.309307,47.070167,c,0.9,0.8,1,1,1,1.3,1.0,45121,45303,45712,45884,45804,46246,45678
agglo,Lucerne_agglo,229407,8.273369,47.090368,d,0.8,0.9,1,1.1,1.5,1.4,1.1,109984,111143,112783,114215,115234,116842,113367
town,Bale_ville,171513,7.53061,47.559608,b,0.2,0.3,0.4,0.5,0.7,1,0.5,95740,96441,97417,98342,98666,99769,97729
agglo,Bale_agglo,547761,7.597481,47.581173,c,0.5,0.6,0.7,0.8,1,1.2,0.8,270865,273000,275414,278842,280806,283723,277108
town,St_gall_ville,75522,9.29601,47.42642,e,1.5,2,1.9,1.8,2.3,2.5,2.0,42049,42398,42628,43113,43124,43309,42770
agglo,St_gall_agglo,166762,9.301792,47.447012,e,1.5,1.9,1.8,1.9,2.2,2.3,1.9,83807,84592,85294,86310,86717,87213,85656
town,Lugano_ville,63494,8.95362,46.043601,e,0.7,0.8,1.2,1.2,2.2,2.7,1.5,38155,38659,39039,39586,39780,40134,39226
agglo,Lugano_agglo,151207,8.958501,46.06618,d,0.7,0.8,1,1.3,2,2.3,1.4,88325,89293,90471,92124,92738,93631,91097
town,Lausanne_ville,138905,6.632273,46.502653,a,0.1,0.1,0.3,0.4,0.7,0.4,0.3,75025,75183,75888,77213,77533,78257,76517
agglo,Lausanne_agglo,420757,6.602433,46.542411,b,0.4,0.4,0.5,0.6,0.7,0.7,0.6,198136,200743,203432,207140,209715,213295,205410
town,Geneve_ville,200548,6.143158,46.214391,b,0.4,0.5,0.5,0.6,0.6,0.6,0.5,106075,106313,107056,107474,108178,109053,107358
agglo,Geneve_agglo,592060,6.11778,46.168388,b,0.5,0.5,0.5,0.6,0.6,0.6,0.6,265918,268395,271196,274070,276915,280563,272843
